,,,$,,,,,MONEY
,,,,CD,,CD,,MONEY
,$,CD,,,,,,MONEY
NN,,NN,,,,,,PERSON
,,,Mr.,,,,,PERSON
,,,Mrs.,,,,,PERSON
NNP,,NNP,,,,,,PERSON
START,,NNP,,,,,,PERSON
,,,,NN,,VBD,,PERSON
,,,,NNP,,VBD,,PERSON
,,CD,,,,,,PERCENT
,,,,,percent,,,PERCENT
NN,,IN,,,,,,LOCATION
,,",",,",",,,,LOCATION
,,,,IN,,CD,,LOCATION
IN,,DT,,,,,,LOCATION
,,,,.,,END,,DATE
START,,IN,,,,,,DATE
NN,,IN,,,,,,DATE
IN,,NNP,,,,,,DATE
IN,,DT,,,,,,DATE
,,,,IN,,DT,,DATE
DT,,NN,,,,,,ORGANISATION
DT,,NNP,,,,,,ORGANISATION
NN,,POS,,,,,,ORGANISATION
DT,,JJ,,,,,,ORGANISATION
RB,,IN,,,,,,TIME
